account_id,name,category,category_id_maxweb,commissionplanname,commissionplantype,avg_ltv,avg_payout,epc_alltime,conversion_rate_alltime,refundrate_alltime,visitors_alltime,trending,negative_score,positive_score,flag_approved,auto_approve,company_website,product_image,codename,rr_record_id,cartproductname,resources_link,restrictions_link,manage_link
11440,Visium Pro,Vision,402,"0% Frontend, 0% Backend",backend,69,150,3.66,2.44,0,121496,10.12,0,0,2,0,https://visiumpro.com/discover/ROOT-L3/,https://cdn.softwareprojects.com/productimages/11440/2/1bo_le_blqv_yi_p_g_resized160.png,visium_pro,2,Visium Pro,https://affiliates-backoffice.maxweb.com/app#resources/11440/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/11440/Visium%20Pro,https://affiliates-backoffice.maxweb.com/app#sales-by-product/11440/Visium%20Pro
11439,Prostafense TSL,Men's Health,370,"0% Frontend, 0% Backend",backend,89,150,3.18,2.12,0,57813,15.26,0,0,2,0,,https://cdn.softwareprojects.com/productimages/11439/6/22eb_z3_p_g_resized160.png,prostafense_tsl,6,Prostafense TSL,,,
11414,LivCare 2,Weight Loss,382,"0% Frontend, 0% Backend",backend,69,140,2.64,1.89,0,248,0,0,0,2,0,https://www.livcarepro.com/,https://cdn.softwareprojects.com/productimages/11414/2/livca_e8w_jgy_p_g_resized160.png,livcare_two,2,LivCare Two,https://affiliates-backoffice.maxweb.com/app#resources/11414/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/11414/LivCare%202,https://affiliates-backoffice.maxweb.com/app#sales-by-product/11414/LivCare%202
11405,NeuroPrime,Brain Health/Memory,414,"0% Frontend, 0% Backend",backend,69,120,2.65,2.21,0,12891,0.2,0,0,2,0,https://theneuroprime.com/go/indexvs.php,https://cdn.softwareprojects.com/productimages/11405/3/_eu_op_ime_ezgif_com_webp_o_p_g_co_ve_e_3iku_p_g_resized160.png,neuroprime,3,NeuroPrime,https://affiliates-backoffice.maxweb.com/app#resources/11405/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/11405/NeuroPrime,https://affiliates-backoffice.maxweb.com/app#sales-by-product/11405/NeuroPrime
11404,JointVive,Joint Supplement,462,"0% Frontend, 0% Backend",backend,69,120,2,1.67,0,38137,21.38,0,0,2,0,https://jointvive.com/go/indexvs.php,https://cdn.softwareprojects.com/productimages/11404/3/joi_vive_4b_ls_1_1cwyux_p_g_resized160.png,jointvive,3,JointVive,https://affiliates-backoffice.maxweb.com/app#resources/11404/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/11404/JointVive,https://affiliates-backoffice.maxweb.com/app#sales-by-product/11404/JointVive
11390,AquaBurn,Weight Loss,382,"0% Frontend, 0% Backend",backend,69,130,2.37,1.82,0,82905,30.12,0,0,2,0,https://aquaburn.org/,https://cdn.softwareprojects.com/productimages/11390/2/p_oduc_s_ep_lcbvogba_p_g_resized160.png,aquaburn,2,AquaBurn,https://affiliates-backoffice.maxweb.com/app#resources/11390/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/11390/AquaBurn,https://affiliates-backoffice.maxweb.com/app#sales-by-product/11390/AquaBurn
11389,Finessa,Gut Health,410,"0% Frontend, 0% Backend",backend,69,120,2.11,1.76,0,176968,24.19,0,0,2,0,https://myfinessa.com/,https://cdn.softwareprojects.com/productimages/11389/2/sigle_b_l_1_ew_fi_essayd3suq_p_g_resized160.png,finessa,2,Finessa,https://affiliates-backoffice.maxweb.com/app#resources/11389/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/11389/Finessa,https://affiliates-backoffice.maxweb.com/app#sales-by-product/11389/Finessa
11369,Awaken XT,Brain Health/Memory,414,"0% Frontend, 0% Backend",backend,59,110,1.86,1.69,0,3669,0.31,0,0,2,0,https://awakenxt.com/presentation/indexv.php,https://cdn.softwareprojects.com/productimages/11369/2/awake_x_wi_h2w7e8ml_p_g_resized160.png,awaken_xt,2,Awaken XT,https://affiliates-backoffice.maxweb.com/app#resources/11369/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/11369/Awaken%20XT,https://affiliates-backoffice.maxweb.com/app#sales-by-product/11369/Awaken%20XT
11346,David's Shield,Survival,270,"0% Frontend, 0% Backend",backend,39,0,0.45,1.68,0,2,0.95,0,0,2,0,https://getdavidsshield.com/,https://cdn.softwareprojects.com/productimages/11346/2/davidsshield_iep_b_p_g_resized160.png,davids_shield,2,Davids Shield,https://affiliates-backoffice.maxweb.com/app#resources/11346/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/11346/David's%20Shield,https://affiliates-backoffice.maxweb.com/app#sales-by-product/11346/David's%20Shield
11345,Joseph's Well,Survival,270,"0% Frontend, 0% Backend",backend,39,0,0.62,1.82,0,2,3.77,0,0,2,0,https://josephwell.com/,https://cdn.softwareprojects.com/productimages/11345/2/bu_dle_1_ezgif6eaqhg_p_g_resized160.png,josephs_well,2,Josephs Well,https://affiliates-backoffice.maxweb.com/app#resources/11345/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/11345/Joseph's%20Well,https://affiliates-backoffice.maxweb.com/app#sales-by-product/11345/Joseph's%20Well
